"                                                            -+*-                
                                                           -****-               
                                                          :***+**-.             
                                ...:::::::              .=**++++*+++=-:.  .:-==:
                          .=+++*****#*####*+-:..      :+###**+++++++++++++*****:
                       .:-+****#################**===+#%##**++++=++**+=+++****- 
                   .:-==++++++****#######################*++++*++*##*++++++**-  
                .:============+++*****#################%%#**=:-*##%#*++++***-   
              :-==----=====++++++*****##############%###%%%%#++##%#+=-++++**:   
           .-==-----===+++***#####*****#**################%%%%####*+==++++**:   
         :-------==*********##########*****#################%#***##%#*+***=.    
       .-------=+***********#############***##############*###*+*#####*+=:      
      .-::---=++********##################*****############**###*####=.         
     .--:::-==++********####################********##########**###*-           
    .:-----==+++*******###**#################****###*##########*-.              
   .::----===+++*************#################################*=                
  .:---===--+++******************###############################+               
 .:---=====-==++*******##***********##****######################+               
 ::----===++===+***************+++++*********#######***+++====-:                
 ::::--====++++*+==---::::....             ...:::...                            
 .::::---===++*-                                                                
  .:-:---====+++:                                                               
  .::-----====++*+-.                                                            
....:--------==+++++=:.                                                         
 .  .--=-=----===++++++-.                                                       
 ..:-===-===---=====+++++-                                                      
.-=====+==++==----===++++=-.                                                    
=====++++=**++==---=====+++=:                                                   
=++++++++-*****++=----====++=:                                                  
+=+++++++=+******+=----====++-                                                  
===++++++==********=----===++=                                                  
====++==++-********+=----===+=.                                                 
=========+-+********+-----====:                                                 
































",Cat,171.png
"             ...                                                                
            .++++=:.                                                            
            :*+++***=:                                          ...             
            -*====+++++:              .......    ...        :-++**++:           
            -+===+++===++-     ......::---:::::...... .  :=+++====-=+.          
            -+--=======-=++=---=---===-==------:::::.::-+==--=====--+-          
            -+====+++++=---++=-===---------------==++++=----===-----+=          
            :*+=+++++===--::=+-:-=-:==------:-==-==+=-:--======-----+-          
            :+==++++==----:-=+=:-=--+-::-:=--=----+=-.::--=++===---=*:          
            .===-----::::-=--====---=::::.======-===-:::--==+++++===+           
             =+-:...:---:-++=-===-.:=:::::=:.=-===--==-:::::--===+++-           
             -*+-::-=++*+==-=--==:.-=-:::--..===---=====--:::...:-+*.           
             .=+-::=+====-----==-:-=-:-:---..:---------==+==-:::-++=            
             -+=---==-------====:.-==-::--==-:--=---------=+=:.-=+=:            
             -+=====--=----==--=::-:-=-:-=:--:-=----------:--:::===             
             -+=======--==--===-:=+-.-=--.-+-:-====--=---==-===--++.            
             :====++====+==--=+:.=*+-.:.:.+*=.-++---====-=======-=+:            
             .====++++==+++===+-:+**=:::-=**+:=*+==+++====+++=---+=.            
              -=-------==--:----=++===--==++=-===--=++====+++=--==:             
              :=--.:--+*+.:--.:::=*=-=----=+=..-.:-:.-+=-:::--:-=:.             
              .-=:.-==+**=:--:--::*+==----*+..--::--:+**+=: .:-=-:.             
              .-+==========--::::.=+======+-...:::--+++=--:..:-=-..             
            ..:=++======---==+++-..=+++++=-..-++====-------::-=+-.              
        .:::..:====-:-----------:.:==++++=-::-====------:---=++=-........       
     ....    .-====----=========----==++=-:----==-:::---:::-=+=:.       .....   
            .-===========++**+==++=::---::-+++=====--------=+=--:               
           .:-=+===========+*+++++*+-...:=**+++++*+=====+===++-:::              
           .:=++=====---===++**++++**=.:+**++++++++=======+++=-:.::.            
        ..:.:::::--=--========++++++==--==++++++=+======+=+++=-:.......         
       ..    :..:-=====--=---===---==++++======---===-====+*+=:   ...  ..       
            ...-=======-----=-=-:::----==-----=--::=====+=-==--:.    ..  ..     
             :----::-----:---------------------=--:-====++---......    ..       
           :=+===----:--:-=--=----------------==-----==-=+==:.   ....           
         .-+***+++=----::-::-=------------:---==--=--==+=+=--:     ...          
        .=+**+=-----------..:---======------:----:----=+===- ::     . .         
       :-=++=--=+++==------:::-===--===--::::::-:.::::----.-: .:                
      .---====++=---:::-----::-===------:...::--------::--. -:  :       .       
     .-::-=+++=---:::.:  :-=---===------:::--===-========+:  -.  .       .      
     :::--=++=---==+=+=-:..-=======----------==--------=++=  .:                 
    ....:-======++++=++++=-:-=++==------:::::::::::::--====.  :                 
    ....:-==++++++++=====++-:=++=-------:...  ...::-----. .   .                 
     ..::::=++=++++====+++++==++=------:......::::-===-.                        
           .=++++=--===-===+++++=--::--:::--=-===--===-                         
            .=*++--==-:-=++**+++=-----========-====---:                         
             :*+=-++-=++++++***++=====+==--=======+++-                          
              ++==+++++=--=+**********+==----===+++++.                          
              -+++++++====+*********#*=--=---=======-                           
              .++++++++++=+++******##*=--------=--:-:                           
               =***+++======++*******+=----::-----=:                            
               -++*++==--======+*****==-=-=---=====                             
               -==**+++===--=====***+=------=====+-                             
              .-==+*+++++=====+++++++=--------==++=                             
              ----=**++++======+**+++=--------==+*+.                            
              ::::-+***++++==++*++++=----:---===++*-                            
                  .=*******++*****+==-::-::--===++*+:                           
                   .+***####*####*--=::-==--====+***-                           
                    :*##########*-::---++=-=====++**=.                          
                     -*########=:   .:---:::----=+==:                           
                      .-+****=:                  .                              
                         .::.                                                   



























































",Cat,7.png
"                                                   ::....:--=++*++=-:.   ....:. 
           ...::.......                            =*+*+++*+==++*****++=====+**.
         .--=======--::::::::::..                  :++***++++==+*+++**+=-=*#%#: 
      .:--=====-==++=-:::::-----::::.               ==++++++=+===++*+++**#%%=.  
     :-----======+====------------::::::.....       -=-=++++++++=****+*##%%+    
    .:--=========++=-------------------:::::::::::.:===++=+****+*+****##%%%*    
   .::---===--===++=--=--:-------------:::::..::.:::===+++*******+***#%#%%%%:   
  .::::---===-======-==--:---------------:::::::::::--==++*+===+**####*+*#%*.   
  .:------===--=====-=------===--====-:----:::::::::-==+*+++++==**##%#+++#%:    
  :::------===--======-------==--====------:----------==+++++++=+**###**##-     
 .::::------==--=========-:-==--====---===----------===+**++**++=+*####%#+:.    
.::::-----------===-=====---==--====----===--=------=====+++****+++*#%%%+-..    
.::::----------===--==-==---==---===--=--==-----=-----===---=+**#**%%%*-...     
.:::::---==----==--===--=-===---===------------====-----====-=+##%%@%%-         
.:::-::------=====-==------==--===---=-----=================+++*#%%%%#.         
 .:::::--==-==========----:-======-====-----=============+++++****%%##*-        
  .::----=--=============-----=+==-===----==========+++====+=+**######%%#*-     
  .::---==--===============----=======-----====+++======++**+*#########%%@%:    
  .:--------===============---=++=====-----==+++=====+***+*#**#***######%*-     
     ......:::--==++=--==-==-==+=====-:----=++++++******++++====--:::....       
                 .:::::::-----======-::----==-------:::...                      




















",Cat,323.png
"                    :===:                                                       
                   -======:                                                     
                  .==++====:                                      .::.          
                  -=+++=====:                                   :=====          
                  =+**++===---                                :=======:         
                  =++*+====----                             :-===+++++:         
                  ===++++===----:                         .-=====++*++.         
                  ====++++===-----.                     :-=---===+**+=          
                  -=++=+++==---::---:::::::.....     .:-----===++++++-          
                  --==+====-----:::--=====+++++===--------==+++++=++=.          
                  ----=++==----::::-------========--------==++*+=++=-           
                  =-----=----::::-------:------==---------=+++=+++=-            
                  =-::::::---:-------------------------:---=====---:            
                  --:::::::-------==------------==-------------:::-.            
                  --:::::----------------==-----======-----=---:::-.            
                  =-------------==---==--=====-==========-----::::-             
                  -=-------===+**+**==+=-==+===++==-==-====---:::-:             
                  .=-::::-=++=***###+-==-=====+*+=+**+*+-=====---=:             
                   =-:-----=++++**++=--=---===+++**##+**=+=--==-==.             
                   --::----========---:----=====+*+***++++=---===:              
                   .=-:------=======---:----=---======+++====-==:               
                    --:::-------=====-:-==--==--==+==+++==-====-                
                    .--::::-:--======-::-------========------=-                 
                   .:--:::-::--===--==--:::---===-====-:----=-.                 
                  .---::::::::-------::::::::-==--===--------.                  
                .:---::::::::::::---:::.::.:::-------:----=-.                   
                :----:::........:::::::::::::::---:::-----:                     
                :=----::::..........:::---:::::--::--==-:                       
              .-=---:::::..............:::::::::::::----=-                      
              :----:::::.................::.:..:::::::::-=-                     
             .----:::.....:-==:......................::::-=:                    
             :---:::...::+*#**-....................::::---==.                   
             ---:::::::=*#####+........::::.........::::--==:                   
            :--::::::-+#%%%%#*-....:::::-:::........::::--===:                  
           :=-::::.:+#%%%%%##+:..:::::::--::.........:::--====.                 
          .+=-:::.:+%%%%%%##=:..::::::::::::..:........::--===-                 
          ++=-:..:+#%%%%%#*-....::::::::::::...........::--=====----:.          
         =***=:.:+#%%%%%%*-::...::-::::::.::..:::::::::::----:::::::---.        
        :####+--*#%%%%%%%+::::...::::::::.::::-----:::.:::::.....::::--=:       
       .*####*+*##%%%%%%*:.:::..::-:::::..::::::--::::............::::--=.      
      .*####**###%%%%%#+:...:::::::-:::::::::::....::.............::::--==.     
      +####***#%%%%%%#+:....:::::::::::::::.:::...:=+=-:..::......:::::-=++-.   
     :**###+**#%%%%#*=-::.....:::::::::....:::::..:-+*+-..::.......::::--==-:.  
     -*###***##%%%#*-:::..........::::::....:::::..:-++-:.::.......::::--==. .  
    .+*##***##%%%%#=-:::::..........::::::::::::::.:-==-...::::::...:::--=+-....
    -#*****##%%%%#+---::::...........:::....:::::...::::..::::::....::::--==::..
    .++=+**##%%%#+-::--:::::..:.......:::.................:::::.....::::--=+=-::
   -++++**##%%%#*=::::::--:::::.......:::::::::::.. ..--:::::::::...:::::-------
   =*++**###%%%#*-::::::--:::::::......:::::::::.:-:..====::::::::..::::::------
  :+++**###%%##*-.....::--:::::::..........::::..-=-.:=--+=-::::::...:::::::::::
  =****#######*=:.....:::-:::::::.........::::::..:::++=:-+=::::......::::::::-:


















































",Cat,224.png
"                                .                                               
                          ...:...                                               
.:--:.                 .:::::....         :-=++=--                              
-==*#*+-:.          .:--=----:-::..    :=+**#*=--=                              
 .-+*###*+=:.   .:--:--==-:-::::-.. .:=***###*--=.                              
   -=+#%##**+--::-==:==-=---:::=-:.-=-=+*###*+--:                               
    :=*%%#*+=-==-==--=+---:==:=------:--=+*#*==:                                
     =#%#+++*++=====:-=---:=-.-----=+++**++=-=+                                 
     :*==*###******+=:=+=-==:-=++=+++===+*=.-+-                                 
      ==-*******++++=-+*+-+*--+==+=++++++=+::-                                  
       -=**####*++*==*==+=*--+:=*+=+*++**+=+==-                                 
       :***%###*+*#.=%*=+=+-*#:.#+=+*+=+*+-===-.                                
       :***++#*+***=*#***+***#+-+====#=-::::-::                           ....  
       :*++++*#+=++==###***+*#=.-++*#+---.:-:-=:........:----:.        .:-::... 
        -**#*++*#***=+%##***#*.*#***+===-=+-=++--:. .     :-----:::.     ....   
        .=*###*+***%*:*%%##**-:#**+=-=+-::--++=. :-. .:::  .=+===-=-:.     ...  
      =*##*+=+**#####+=####*--+*##*=-=====++=:--. .=: .---:-:.  ...:--:...  ..  
     =###+=::===*#*###=+**+==+*****++*++=---: :==: .::.:=*+-..      .::...      
     :=-+:. .=:.:*#*##*+=++=:.    ....:=+**+*+-=**+-.:-*#*+==---:    ...        
        ..    .  .*##=:. ..::  .:.       .::::-=+++***+++-----::-:.             
              .=--=**=----:::-+*+=-:--=+=-:----+****#*+=---:---...              
            .**++*=---====--:--:-==++************++++++=-----:.  :--.  .::--::. 
            -*:  -:.                 .::--===--------==--::..   .==:.  :-:--=-: 
            .-::: ...   ..             .::--:::::::::--:::...  .--:.  .::---::  
                ..     .::            .:::::::..........::::. :--.     :.:::..  
                                                              ..       .....    
                                                                                


























",Cat,359.png
"             .::.                                                               
            .:----:                                                             
            :-------:                                                           
            :---------:            .-:                                          
            .-----------:.       ..-=-.                                         
             ----------==-:::::::::::---::.                                     
             :---==------::::::::::::::::----.                                  
              -----------:::::::---:::::::--===--:.                             
              .----:----:::---:-:::------::::------.                            
               ---:::---:------::--------------:::::                            
               --:.:::--::-:::::--::..:-------::::::.                           
               :::...::::.:::::--::-:::----:-:::::::                            
               .::::.:::::::::-:-----::-:::::::::--:                            
               :-:::::::-::-:--::----:--------:::::                             
              .:-:::::::::::::-:---------:::::::::                              
              :---::::.:::::-:---=-----::::::::::                               
              .:--:::::::------------------::::.                                
               .:-----------:---::-----====----:.                               
                :-------=-----:::.:::-----==--==-.                              
                :--======------::..:::------------.                             
                .--=====--::::::::-------=---------:.                           
                 .-=====---::..::-===--:-===-----===-:..      ..::::.           
                 :====-----:::::-====----==--:::-:-=-----:--::::::---:.         
                .-====---:::::---=------==---:-:::-===--==-::::::::.::--:.      
                :=====--==-:::----:-------::::-:.-===::---::..::--.:::::--.     
               :-==========---:::::-----:::::::::----:.-----:::-=-::::.::-:     
               -=======---:::::::::::-:::::-----:---:.:-----:::::...::...:.     
              .-=-====---::--:::::::::.....::---::-:..:--=---:.      .          
              :---====--------------:::......:-:::::...:---::.                  
             .-----===-------:--------::......:::::::..:::.:.                   
            .----------------:::::---:::.::.....::::::....                      
            :---------------::.......:::::.....:::....::.                       
            :-=-----------::.....:....:::::...::::.                             
            :==---------::::::-----::.::::::::::::.                             
            :-=----::::----=====-=---:::::::::::::.                             
            .--==--:------===+===------:::::::::::.                             
            .-====-----::-=-==+==-------::::::::::.                             
            .--=====--::----====--==----::.......                               
             .-=====--------==-=-====-=--:::...                                 
             :=====-----:--===----===-===-::::.                                 
             -====---::--===============----:::.                                
            .-====---=---==============----=--::.                               
            .-==---:-=========--==+===========-:.                               
            .:-==-----===+==------===--==---==--:.                              
            .-==------=====-----:::.::--::::---::.                              
           .-=----:---====-----::::::::---:::--:::.                             
          .-==----:----==------::::::::---------::.                             
         .:---:::::::----------::-:---:----=-::---:.                            
       .:----:::-::::----::::-::-::-------===:--==--:.                          
      ::---:::::-------::::::::::::------====--=+++==-.                         
     .:--::::::..:----:..::::..:::----===============-:                         
     :--::::::::::::::....::..::-----=======---------::                         
    .:---:::....:::::....::::::-----=++=--==---------::.                        
    .-----::.....:.......:.::.:----====---=-----:::--::.                        
    :-----:..................::---==-----==---:::::--::..                       
   .-----:...................::--==------=--::::::::::..                        
   .---:::....................:::--::-------::::::--:::.                        
   ..::::::....................:::::------:::::::::::::..                       
    .::::::.......  ...........:::-------::::::..::-::...                       
    .::::::.....    ........::::--=---=----:......:-:::..                       
    .....::.....    ........:::---=-------::.....::::...                        
   .. ..... ..:..   .........::---------:-::...:::::...                         
  .......  :.....        ....::::------::-::..::::::...                         
 ........  .....         .......::---------:..:::::...  ..                      
  .. .:.......            ......::::-------:...::::.............                
   . ..  ....              ..............:-:...:.......:.. ........             
                                        .:.:...... .....  ..:....:..            
                                        .::-.....        ... ..:.....           
                                        .::........     ..:.........            
                                        .:.:...:::.                             
                                        .::::::::....                           
                                         .:::::.....                            
                                           ...                                  








































































",Cat,285.png
"             .::                                                                
 .          .--:.    ...        ...                                             
.:::..--:...........:::-==--------:::-===-:.                                    
 ......::::......   ...:===+*+-:::.:----==--:::::..                             
  .....:....:..:.      -+=+*=----:--===+==:-:.::-==-::                          
   :::::.  .:....    .:+++*-.:--..--=+++=-:::::::--:.::.                        
    .:--:.....::.    :+*+*+---::.::::===-... ..:---:.....                       
      -+-:...-=-:   -*#***-.--::.-::.-+=-:...::-==--::::::                      
       .-::..=+==-:-*####*=:-:::---:-=-....::-+++==-:::::-:                     
              :+++++***#%#=:::.:..:-=-....:-=+===--:::::::-.                    
                :--==**#%#+-:::..:--:..:--=++=::....::--::::                    
                      :####=:.::--=-:..:---=-:........::--::                    
                       +##*+-:::====-==:-=====-.......  :-:..                   
                      .=##+-:  .:----====+=-:::. ...    -=..:.                  
                    :#+=**=-          .:-=+=---:    ....-=:...                  
                     +**#*=:              .*#*+=-   .... :-:. ..                
                     -***=:               :*#+=:    :.    .-::.:.               
                                     .:.:*#*=:   -==:..    .--:-:..             
                                    +###%#+:    .--:.        ..--:::..          
                                     ..::.                      .-:--:::.::.... 
                                                                   ..:::::......
                                                                         . .....





















",Cat,244.png
"      :+++++++++==-                                                             
      -+==+++==++===:...                    .-=++++=                            
      =+====-==++===*++++===---:......::-=++++++++==.                           
      ++=-------====++++**+++**++++++****+++==+====-                            
     .*+--------====+++++++++++++++***+=========---                             
     :+=---==--====++**+++++**++++**+=----=-------                              
     .+=---=========++*++***#*++=***+==--:--:::--.                              
     :*+=-==-======++*++***##***++++====---:::-=.                               
     :++===--======++====***#*++=++==------:::-=                                
     :++=======+++++=-=++*****=--=====----::--=-                                
      =+==---========-=++***++-=--====----:--==:.                               
      .==------::. .:--==++++===-=++++=-----=++++++===-::..                     
     .:-====-==:.. ..:-==++++==-::--=+=----=++++++++++++++++=-.                 
    .:-=+==-----:::..:-=======:.  ..---:--=++++++++++++++++++++=-:              
  ..:-+**+==--::---=--=======-....:-==---=++++++++++++++++++++++++=:            
 .:::=**#**++==-=======++++==-----------==========+++++++++++++======:          
  ::-=******+++========+++++++===------==-------========++++==========-.        
  .:-=******++++======--====++==========----------======================-       
  ..:=+*****++++======-----=============---::-----=======================-      
  .::-+*#***++++======---===============---::----------=================-=-.    
  ..:-+****+++++=========================---::---------========-----====--=-.   
  .:-=+****+++++=========================---::::---------=====------=-====-=-   
  :::-==+*+++++==========================----:::---:-------------------=---=-.  
  :----==++++++=======================-------:::--:-------------------------=:  
  .=+++++++++++==================------------::::::-:::::-----=====-----------  
   -=+++++***++++===============-----::::::-::::::::::-----===========-------=. 
   :====+****+++===============---:::::::::::::::::::-----=====+======-------=: 
   :====+***++================----:::::::::::::::::::------==========--------=- 
   :***###*++==------========----::::::::::::::::::---------=========-------==- 
   :#####*+===---:....:=====---:::::::::::::::::--------------====--=-------=-. 
   :*###*+===---:     :====---:::::::::::::::::--:-------------------------=-.  
   :+***+====--:      :=====-------:::::::::::::::-------------------------:.   
   :======---:.      .======---::::::::::::::::::::----::----:-::----------     
                    -=======----------::::--::::::---:-:::--:::---::------:     
                  :=+======---------------------::-:::::::-:::--------:::-.     
                 -+=======-----------:------------------------------::::::      
               .-+=====--------------------------------------------:::...       
            .-=++===------------------------------------------::....            
          .=***+===----------------------::::::---:::::::....                   
         -**++++==------------::::.......                                       
        .**+=====--------:...                                                   
         =====---------:.                                                       









































",Cat,t79.png
"                                            .-==:                               
                                           :=+++=-.                             
                                          -+++++==-                             
                                         .++++++===-                            
                                         -++**+++=-=-                    .:-===.
                                         +****++++=-=-                .-=======:
                                         =*****+++====::......     .-===++++++- 
                                        :++**+**++++====-:------:::===+++++++=  
                                        :*++***+++======-:--=---:-==+++*****=   
                                        .====++==+===========-==:-==++*****=    
                                        :-==++++++++==+-+*-=+++-+====+***++     
                                        :-=++==++*+++*#-*#++##**+++===++++:     
                                        .===-:-=**=+-=+*%####*##+**++=+=-.      
                                        .----+=+*%*+=+++%%#***##+=======.       
                                      .:---+***+++****+-#%#**#*==:-=*-..        
                                    .::-====+++*****#%*-******=******-          
                            ......:::--===+++*#####%###*=++++=+#%**+-.          
                      ....::::::::::-====+*#######%%##%#=-++=+**#*+-:           
                  .....::::::::::::--=++**#%%%%%###%%%%%%==+#%%#*=-:..          
               ..:::::::::::::::::--=++*##%@%%%%%%#*#%%##+*#%%#+-...            
             ...:::::-----::::::::--=++++*%%%@%%%%%########*=:.                 
           .::::::::-::----:::::::---==++*#%%@@%%%%%%###**+=.                   
          ..:::-----:----:::::::-:--==++++*#%%%%%%%%%%%%%**-                    
        .:::::-------:---:::::-----====+++***#%%%%%%%%%%#*+:                    
      .:::::----------:---::::---===+++=+++***%%%%%%%%%%#*=.                    
     .::::::::::---------:..::---=====++==+**#%%%%%%%%%%#+-                     
    .:--::::::-----------:..:------==-=++=-=*#%%%%%%%%##*=.                     
    .:::::::::--:--------:..:--==++===-=+*++*########**=:                       
  ...::::::::--::::--------.:------===--=+**#######**+-                         
  ...::-:::-:::::-:--------:-------=++++==+*####**++=-                          
  ..::::::::::-:::-------=-::::---::-=****####***===:                           
  ..::::::--:::::----::---::::-:..::::-+****#####**+-                           
  .:::::::---::::----::-==--:::::=+++=+*++*##%#***++:                           
 .::::::::::---:::------=+=::::::=++**++==*##%#=-::-.                           
 :::::::--::::---------=+*+-::..:-++++==-:=*###*--==-                           
..:::::::::::::-------==++*#**+=-:-=++=--::=*###*###*:                          
 ..:::::::::------====+==+*######*++=----:.:=***#****+                          
  ...:::::---==+==++*+++++*##******+=-::.....-+*+===++:                         
  .::::::--===+++++****+++*#*==--===--:.     .-======+-                         
   ..:::--==++***++++**++=***=-:---==-:.      :==+++=++.                        
   .::::--===+++=+++++++==***+-----+*=:.      .--==++**+:                       
    ..:::----==-========-=+****+=-=+*+-       .::--=****+-.                     
      ...:::---------==++=++*****+=::.           .::==+++=-:.                   
            ..:-------=+++++++++++=.                 .:---:.                    











































",Cat,169.png
"                                     .::-:-------:..                            
                               ..:==**############**+=-.                        
                        .:::--+**######################*+=:.                    
                    .-=+*+======*##########################*+-.                 
               .:-=+****+--======+*#####************##########*=.               
             .=*##******=--===+====*##**++++===++++++**#########+-::::..        
          .-=**********+---=++++++==+**++========+===+++**####**+======:.       
         :+##**********=---=+++++++===+++===============++****====+++==:.       
        .+###**********=--==++++++++=========+++++++++++++++=--==+++++=-.       
       .+**##**********=-==++++++=++=--=---====++*+++=======--==+++++++=:.      
      :***************=-----====-=----:-=::::::-=+==-----==-:-==========-:      
     :****************=====---====------::::::::--:::---:--::::----------:      
    .+****************++-----==++++===-:::--::::...::::::::::-------------.     
   .=*****++++*********+-:-=========--------:.::...::..:::::--=====+=-::-=:     
  .+*****=--=+********+=--=+++===-----------:::..::.::.::::--:--==++++=--++:    
 .+****+=---+*********=--=+==--===-=-=-----:::::..--:--:-----------==+=-=**+.   
 =****+=-:-=+********+----=---=--====---==-::--::-=====--=====-=-----====+**=   
:****+=-::-=+********=::-----=--=====--=+-:--:-==++++=+=-=+=---------=-=-=**+:  
-***+-::::-=+********=-::------==++==--++-:==-=++***+=++=+*=----=--------=***=  
-***=-:::::=+*******+-:-::---===+++++++*+::+++*#####****==*+=-======-----=+**+: 
-**+=-::::-=+******+-:::::----=========++==+**#######**+==++======--------+***= 
:**+=-::::-=+******+=:::::..:-==+=:===-===+***######*+++=-:-==:.---:::--:-+***+.
.+*+=-:::::=+*******+-::...:-=+*#*=-=====::***######*+*--=-=+=::++-::..::=****+.
 -*+=-:::.:=+********=-:::-===+*###*==---::+*#######**- .:---::+*=-:::.:=*****+.
 .++=-:::::-+********++====+++**#######**+=*#########=:.:==-===-:..:-::=******=.
  :++=-:.::-=********++++++++***#############**######+==+**=-::::::--:-+******= 
   -+=-::.:-=+********++++++++****##########******##**####**+=-----::-=*******= 
   .=+=-::::-+*******++++++++++++***########*+********######*++==--:-=****+**+: 
   .-=+=-:::-=*******++++++++++++*****##**##*++++++++*#####***+====++*****++*+: 
    .-+==-:::=+******+++++++++++++****#***#**+=-====+*#####***++++++******+++=. 
     .-===----=+******+++++++++++++************=--=**###*****++++++++++*****+.  
      .:=====--=*****++++++++++++++++++++++*++++==++*****++++++++++********+:   
        .:--====+****++++++++++++++++++++++++++==++++++++++++++++++*******+-    
           .::-=+******+++++++++++++++++===+++++++++++====+++++++++******+=.    
              .:=*****+++**++++++++++++++++++=+++++++++++++++++++++******+.     
                -+********+++++***++++++++++++++++++++++++++++++**++*****=      
                .=*************************++++++++++++++++*********+****=      
                 :+***********************+++****+++*******++************=      
                 .=+**********************++******++*********++**********+.     
                  .+**********************++********************+******+*+:     
                   -+********************************************+++*****+:     
                   .=+*******************************************+++++****:     
                    .=+***********************************+******+++++****:     
                     :++++********************************++*****+++++++**:     
                      -+++++***************++*************++***+++++++++**:     
                      .=+++++++++++*+++*****+***********++++++++++++++++*+.     
                       :++++++++++++++++*+**+**********++++++++++++++++++=      
                        =++++++++++++++++++++***++***++++++++++++++++++++-      
                        .=+++++=====+++++++==+++++**+++++++=+++++++++++++:      
                         -+++++===---:--====+++++++++==--===++++++++++++=.      
                         =++++====--.     ..:--::....    :==++++++++++++-       
                       .-++++++====-.                    :===+++++++++++:       
                     .=++++++++===--.                    .===++++++++++=.       
                    :=++++++++++==--                      -==++++++++++-        
                    =++++++++++===-:                      :==++++++++++.        
                    =++++======----.                      .==+++++++++=         
                    -++==========-:                       .-=+++++++++-         
                    .=+++++=====-:                        .-=++++++++=:         
                     .-=====---:.                         :==+++++++=+-         
                          ..                              .==+++++++++=.        
                                                          .==++++++++++=:       
                                                          .=+++++++++++*+:      
                                                          :=++++++++++++*=.     
                                                          :=++++++++++++++.     
                                                          .=+++++++++*+++-      
                                                           :+++++++++**+:       
                                                            :-==++**++=:        
                                                               .::--:.          



































































",Cat,17.png
